,Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating Produk,Kawasan,Kelas Harga
49,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,Kab. Indramayu,100,5.0,Luar JABODETABEK,Mahal
50,Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,JABODETABEK,Murah
51,Kylafood Seblak Cup,11000,Kylafood Jakarta,Jakarta Selatan,100,4.9,JABODETABEK,Murah
52,seblak frozen,10400,pelangi girls naget,Jakarta Timur,2000,4.9,JABODETABEK,Murah
53,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,100,5.0,JABODETABEK,Mahal
54,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.9,Luar JABODETABEK,Murah
55,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,JABODETABEK,Murah
56,"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,50,5.0,JABODETABEK,Mahal
57,Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,19,5.0,Luar JABODETABEK,Murah
58,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,Kab. Indramayu,100,5.0,Luar JABODETABEK,Mahal
59,Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,JABODETABEK,Murah
60,Kylafood Seblak Cup,11000,Kylafood Jakarta,Jakarta Selatan,100,4.9,JABODETABEK,Murah
61,seblak frozen,10400,pelangi girls naget,Jakarta Timur,2000,4.9,JABODETABEK,Murah
62,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,100,5.0,JABODETABEK,Mahal
63,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.9,Luar JABODETABEK,Murah
64,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,JABODETABEK,Murah
65,"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,50,5.0,JABODETABEK,Mahal
66,Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,19,5.0,Luar JABODETABEK,Murah
67,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,Kab. Indramayu,100,5.0,Luar JABODETABEK,Mahal
68,Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,JABODETABEK,Murah
69,Kylafood Seblak Cup,11000,Kylafood Jakarta,Jakarta Selatan,100,4.9,JABODETABEK,Murah
70,seblak frozen,10400,pelangi girls naget,Jakarta Timur,2000,4.9,JABODETABEK,Murah
71,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,100,5.0,JABODETABEK,Mahal
72,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.9,Luar JABODETABEK,Murah
73,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,JABODETABEK,Murah
74,"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,50,5.0,JABODETABEK,Mahal
75,Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,19,5.0,Luar JABODETABEK,Murah
76,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,Kab. Indramayu,100,5.0,Luar JABODETABEK,Mahal
77,Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,JABODETABEK,Murah
78,Kylafood Seblak Cup,11000,Kylafood Jakarta,Jakarta Selatan,100,4.9,JABODETABEK,Murah
79,seblak frozen,10400,pelangi girls naget,Jakarta Timur,2000,4.9,JABODETABEK,Murah
80,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,100,5.0,JABODETABEK,Mahal
81,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.9,Luar JABODETABEK,Murah
82,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,15000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,JABODETABEK,Murah
83,"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,50,5.0,JABODETABEK,Mahal
84,Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,19,5.0,Luar JABODETABEK,Murah
85,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,Kab. Indramayu,100,5.0,Luar JABODETABEK,Mahal
86,Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,JABODETABEK,Murah
87,Kylafood Seblak Cup,11000,Kylafood Jakarta,Jakarta Selatan,100,4.9,JABODETABEK,Murah
88,seblak frozen,10400,pelangi girls naget,Jakarta Timur,2000,4.9,JABODETABEK,Murah
89,Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,100,5.0,JABODETABEK,Mahal
